country_iso3,sector,ggodelta,fd,pdggo
SWE,Water Transport,-675,387.90873,-2.401270307249221
SWE,Air Transport,-3229,2075.592975,-2.400103370501496
SWE,Transport Services,-16489,8074.151500000001,-2.39997510379546
SWE,Communications,-11536,6908.6807100000005,-2.3995418859822095
SWE,Financial Services,-15581,10763.7916296,-2.3993177905141607
SWE,Real Estate,-66920,39285.1889724,-2.3982407025711114
SWE,Business Services,-12456,8385.6674,-2.3982108564322204
SWE,Public Services,-52070,29708.640771399998,-2.395231613331059
SWE,Education,-49104,31993.331188,-2.3950321020656387
SWE,Health,-89781,62063.002477999995,-2.389404102641366
SWE,Other Services,-37439,21937.382100000003,-2.388997658930617
SWE,Private Households,-155,156.224192181,-2.3887711767919866
DEU,Agriculture,-56247,30902.150417000004,-2.3876306623057313
DEU,Mining,-14824,20544.45858064,-2.3869459494024405
DEU,Food,-349742,155913.99529294,-2.3846792318238506
DEU,Textiles,-67705,34240.00366346,-2.3841987634510935
DEU,Leather,-15058,7672.9385431480005,-2.383510500870427
DEU,Wood,-5515,2518.79096547,-2.3829179322733927
DEU,Paper,-80186,39225.424199700006,-2.3790668640507424
DEU,Fuel,-106241,55278.68490429999,-2.3781486260661553
DEU,Chemicals,-126676,63450.785940999995,-2.3780447918260075
DEU,Plastics,-24204,11710.416947429998,-2.377221985066883
DEU,Minerals,-16049,8060.165412680001,-2.3769042736996484
DEU,Metals,-32473,15388.491036469999,-2.375198942524098
DEU,Machinery,-53136,25045.571891300002,-2.371265234660194
DEU,Electricals,-79799,40531.592149000004,-2.3697906687598658
DEU,Vehicles,-244241,98741.06029860002,-2.3674302847746667
DEU,Manufacturing,-68373,33030.448557719996,-2.3654841041106964
DEU,Utilities,-107274,61210.21697590001,-2.364623611128758
DEU,Construction,-14486,7327.717941860001,-2.364360177850837
DEU,Vehicle Trade,-61303,40298.20801839999,-2.363056167424732
DEU,Wholesale Trade,-160844,103449.92431809999,-2.3623014968940894
DEU,Retail Trade,-158602,97007.25344319998,-2.3561356768255983
DEU,Hospitality,-149810,91038.7239581,-2.3521186411463124
DEU,Inland Transport,-43552,26964.837809999997,-2.34846251962331
DEU,Water Transport,-9457,4701.984616400001,-2.345743950502175
DEU,Air Transport,-37041,17828.56922,-2.3448736218345148
DEU,Transport Services,-31291,17452.656601000002,-2.341427067644673
DEU,Communications,-89501,54762.1895,-2.341221525301351
DEU,Financial Services,-219864,114647.43557416002,-2.340807724420853
DEU,Real Estate,-405662,316398.15231592004,-2.3407845327947743
DEU,Business Services,-52566,36678.64788,-2.3407664876657788
DEU,Public Services,-370968,245159.984135,-2.339862007958573
DEU,Education,-205430,152452.341221,-2.3384551592444924
DEU,Health,-482145,327304.98401237,-2.3383040221158735
DEU,Other Services,-211191,133216.8144,-2.3374506052492023
DEU,Private Households,-10661,10663.64613484,-2.33507602046135
IDN,Agriculture,-52151,37166.33841633,-2.3286121613873347
IDN,Mining,-52,47.105432282421006,-2.3282090098476727
IDN,Food,-104996,52973.7390002033,-2.3254836077954377
IDN,Textiles,-20815,9632.677200008735,-2.3250153516554137
IDN,Leather,-3978,1935.7378000000006,-2.3239740276073797
IDN,Wood,-34,18.54606002400953,-2.3235264927074595
IDN,Paper,-2981,1481.306969041,-2.3234940148571317
IDN,Fuel,-3961,3199.8450001137417,-2.320686249833213
IDN,Chemicals,-19269,10416.23401206748,-2.318195512126429
IDN,Plastics,-6263,3004.8315058402504,-2.3168055584779403
IDN,Minerals,-1045,597.5947000834781,-2.3138570833813263
IDN,Metals,-299,165.819248332066,-2.311646603756761
IDN,Machinery,-2694,1370.05094115437,-2.3094209802201333
IDN,Electricals,-23043,12781.78503667765,-2.306920228271357
IDN,Vehicles,-40011,18907.749300495012,-2.3060889794765345
IDN,Manufacturing,-7533,3948.6881200000003,-2.3043483711544965
IDN,Utilities,-9153,4565.6664673682,-2.3036018108833454
IDN,Construction,-26,13.60197303,-2.3029260349346012
IDN,Vehicle Trade,0,16.242932881869997,-2.3008477636877243
IDN,Wholesale Trade,-43688,26295.746116626102,-2.3002412772236798
IDN,Retail Trade,-29355,17527.5662011622,-2.299407289949686
IDN,Hospitality,-26950,15790.296008390862,-2.299343085494594
IDN,Inland Transport,-20161,10716.04420455532,-2.295958158653301
IDN,Water Transport,-8743,4801.5714000000025,-2.295052018793012
IDN,Air Transport,-2214,1530.7540136525,-2.2940739417714986
IDN,Transport Services,-1992,1745.3410683999998,-2.2906442179947213
IDN,Communications,-11312,7497.683977125401,-2.288164260466885
IDN,Financial Services,-13822,10466.58122438,-2.286794063340042
IDN,Real Estate,-3403,2248.86244901565,-2.2860659359258366
IDN,Business Services,-18623,10863.854555,-2.28598567745429
IDN,Public Services,-46576,26677.09505,-2.2857210150961644
IDN,Education,-29289,15551.51153,-2.2842386610213827
IDN,Health,-4486,2557.077847,-2.2826796565541745
IDN,Other Services,-42959,23662.70765336,-2.2826520616172785
IDN,Private Households,0,0.009338508,-2.280675749959963
BGR,Agriculture,-3265,1598.1195051829998,-2.2799636278187863
BGR,Mining,-191,150.8246350367223,-2.2792338379815003
BGR,Food,-11575,5260.928943111516,-2.279043202023126
BGR,Textiles,-1815,826.2259001336995,-2.27711471987634
BGR,Leather,-549,261.05042144159523,-2.276099008864603
BGR,Wood,-76,42.12750892998099,-2.2741354481603433
BGR,Paper,-631,282.77905597029996,-2.274046200913534
BGR,Fuel,-2052,1050.1938960065047,-2.2711904349308654
BGR,Chemicals,-1932,993.0856767889901,-2.269497765479237
BGR,Plastics,-257,115.67186611279331,-2.2693325870861663
BGR,Minerals,-157,80.11022034390601,-2.2691689584230326
BGR,Metals,-602,267.81756718431495,-2.2677257442626213
BGR,Machinery,-614,270.003309410927,-2.2670313622809917
