country_iso3,sector,ggodelta
HUN,Plastics,-877
HUN,Minerals,-559
HUN,Metals,-1435
HUN,Machinery,-2565
HUN,Electricals,-4797
HUN,Vehicles,-11023
HUN,Manufacturing,-2925
HUN,Utilities,-12014
HUN,Construction,-1001
HUN,Vehicle Trade,-2424
HUN,Wholesale Trade,-6110
HUN,Retail Trade,-6489
HUN,Hospitality,-9265
HUN,Inland Transport,-4518
HUN,Water Transport,-33
HUN,Air Transport,-1137
HUN,Transport Services,-1433
HUN,Communications,-3624
HUN,Financial Services,-4993
HUN,Real Estate,-14954
HUN,Business Services,-2035
HUN,Public Services,-20708
HUN,Education,-10162
HUN,Health,-14621
HUN,Other Services,-11155
HUN,Private Households,0
PRT,Agriculture,-9226
PRT,Mining,-28
PRT,Food,-35162
PRT,Textiles,-12377
PRT,Leather,-3605
PRT,Wood,-680
PRT,Paper,-4359
PRT,Fuel,-5916
PRT,Chemicals,-12375
PRT,Plastics,-2124
PRT,Minerals,-1040
PRT,Metals,-1796
PRT,Machinery,-2851
PRT,Electricals,-4979
PRT,Vehicles,-15167
PRT,Manufacturing,-7348
PRT,Utilities,-11315
PRT,Construction,-800
PRT,Vehicle Trade,-10165
PRT,Wholesale Trade,-16355
PRT,Retail Trade,-11611
PRT,Hospitality,-29126
PRT,Inland Transport,-4042
PRT,Water Transport,-87
PRT,Air Transport,-1728
PRT,Transport Services,-2968
PRT,Communications,-10013
PRT,Financial Services,-13581
PRT,Real Estate,-21400
PRT,Business Services,-5661
PRT,Public Services,-33286
PRT,Education,-19380
PRT,Health,-35364
PRT,Other Services,-17043
PRT,Private Households,-1969
POL,Agriculture,-34057
POL,Mining,-3389
POL,Food,-96675
POL,Textiles,-11979
POL,Leather,-4717
POL,Wood,-2372
POL,Paper,-10353
POL,Fuel,-11683
POL,Chemicals,-27849
POL,Plastics,-2850
POL,Minerals,-4850
POL,Metals,-3904
POL,Machinery,-6624
POL,Electricals,-10367
POL,Vehicles,-14302
POL,Manufacturing,-8159
POL,Utilities,-25413
POL,Construction,-31851
POL,Vehicle Trade,-16104
POL,Wholesale Trade,-28819
POL,Retail Trade,-37185
POL,Hospitality,-15959
POL,Inland Transport,-20106
POL,Water Transport,-372
POL,Air Transport,-775
POL,Transport Services,-8705
POL,Communications,-19572
POL,Financial Services,-38020
POL,Real Estate,-78961
POL,Business Services,-11121
POL,Public Services,-57266
POL,Education,-36591
POL,Health,-42274
POL,Other Services,-41000
POL,Private Households,-2563
NLD,Agriculture,-12331
NLD,Mining,-162
NLD,Food,-61945
NLD,Textiles,-11380
NLD,Leather,-1952
NLD,Wood,-2752
NLD,Paper,-16811
NLD,Fuel,-17999
NLD,Chemicals,-25257
NLD,Plastics,-4039
NLD,Minerals,-2666
NLD,Metals,-5128
NLD,Machinery,-6735
NLD,Electricals,-10438
NLD,Vehicles,-23766
NLD,Manufacturing,-16455
NLD,Utilities,-34417
NLD,Construction,-4669
NLD,Vehicle Trade,-16834
NLD,Wholesale Trade,-51693
NLD,Retail Trade,-24900
NLD,Hospitality,-34167
NLD,Inland Transport,-15898
NLD,Water Transport,-1468
NLD,Air Transport,-4296
NLD,Transport Services,-14424
NLD,Communications,-22135
NLD,Financial Services,-61995
NLD,Real Estate,-80755
NLD,Business Services,-22374
NLD,Public Services,-137776
NLD,Education,-51715
NLD,Health,-127103
NLD,Other Services,-41731
NLD,Private Households,-3157
ROU,Agriculture,-22247
ROU,Mining,-43
ROU,Food,-34031
ROU,Textiles,-2929
ROU,Leather,-926
ROU,Wood,-535
ROU,Paper,-1442
ROU,Fuel,-7273
ROU,Chemicals,-1942
ROU,Plastics,-369
ROU,Minerals,-2099
ROU,Metals,-988
ROU,Machinery,-842
ROU,Electricals,-1139
ROU,Vehicles,-4101
ROU,Manufacturing,-2714
ROU,Utilities,-9482
ROU,Construction,-3522
ROU,Vehicle Trade,-2473
ROU,Wholesale Trade,-9026
ROU,Retail Trade,-8319
ROU,Hospitality,-9679
ROU,Inland Transport,-13635
ROU,Water Transport,-58
ROU,Air Transport,-792
ROU,Transport Services,-1579
ROU,Communications,-2603
ROU,Financial Services,-2776
ROU,Real Estate,-27503
ROU,Business Services,-1483
ROU,Public Services,-14864
ROU,Education,-13462
ROU,Health,-18214
ROU,Other Services,-12711
ROU,Private Households,0
SVN,Agriculture,-2270
SVN,Mining,-52
SVN,Food,-5177
SVN,Textiles,-1586
SVN,Leather,-504
SVN,Wood,-92
SVN,Paper,-855
SVN,Fuel,-1846
SVN,Chemicals,-2268
SVN,Plastics,-234
SVN,Minerals,-145
SVN,Metals,-551
SVN,Machinery,-984
SVN,Electricals,-1123
SVN,Vehicles,-3369
SVN,Manufacturing,-1102
SVN,Utilities,-1769
SVN,Construction,-405
SVN,Vehicle Trade,-1348
SVN,Wholesale Trade,-3082
SVN,Retail Trade,-2211
SVN,Hospitality,-2750
SVN,Inland Transport,-915
SVN,Water Transport,-19
SVN,Air Transport,-109
SVN,Transport Services,-1754
SVN,Communications,-1723
SVN,Financial Services,-2262
SVN,Real Estate,-4187
SVN,Business Services,-1143
SVN,Public Services,-6150
SVN,Education,-3994
SVN,Health,-5269
